PROPNUM,IP30,IP180,MUWI,SUB_AREA,FIELD,PAD_NAME,INITIAL_RSV_PRESSURE_PSI,SPACING_DIST_FT,FRAC_DESIGN_SIMPLIFIED,PERF_PERF,CLUSTER_SPACING_FT,FRACED_STAGES,AVG_RATE_BPM,AVG_PRESS_PSI,FRAC_VENDOR,TOTAL_PROPPANT_LB,MESH_100_LBS,LBS_40_70,LBS_30_50,TOTAL_FLUID_BBL,TOTAL_ACID_BBL,WELL_NUMBER
Q189102D9C,10479,53464,9264201300000000TOM0023H1,South,Tilden East,"Walnut Unit 3H, 4H, 5H & 6H",6353,775,Short Slickwater,6676,71,19,68.47,8761.58,Frac Tech I,8160160,719540,5076820,2363800,247075,1018.67,4
Q18910XE9C,12798,54394,9264201300000000TOM0026H1,South,Tilden East,Walnut Unit 3H & 4H,6361,775,Short Slickwater,6676,71,19,70.8,8645.89,Frac Tech I,8305830,721740,5173310,2410780,242940,998.02,3
Q1891L1CO0,3794,15030,9264201300000000TOM0009H1,South,Tilden East,Anthony East 1H & Anthony West 1H,6864,875,Slickwater,5043,71,18,85.5,9457,Frac Tech II,5954420,505040,3191140,2258240,204961,870,1
Q1891L5CO0,5258,19825,9264201300000000SCD0041H1,North,Tilden East,Single Well,6184,1000,Short Slickwater,5714,68,17,68.94,8252.06,Frac Tech I,7285442,645380,4596960,2043102,552349,1139.21,2
Q1891L6CO0,12891,58017,9264201300000000SCD0013H1,South,Tilden East,Berta 1H & Kinsley 1H,6288,725,Slickwater,6499,73,18,79,8481,Halliburton,7731300,680020,4391200,2660080,231811,1081,1
Q1891LACO0,8733,53047,9264201300000000TOM0008H1,South,Tilden East,ET & Nancy Ednumd Unit #1H,6804,1000,Short Slickwater,4830,68,18,80.6,8267,Halliburton,6319100,555020,3556800,2127220,194896,1048,1
Q1891LBCO0,2327,14544,9264201300000000TOM0011H1,South,Tilden East,"BLT Unit 1H, Bros Unit 1H",6535,900,Short Slickwater,4625,67,14,73.4,8328,Frac Tech I,5657180,531460,3621620,1504100,178473,899,1
Q1891LFCO0,2378,13545,9264201300000000SCD0010H1,North,Tilden East,Single Well,5980,800,Hybrid,4475,71,16,67.8,7841,Frac Tech II,5087140,450300,2707600,1929240,110905,1145,2
Q1891LGCO0,10818,47918,9264201300000000TOM0013H1,South,Tilden East,"BLT Unit 1H, Bros Unit 1H",6789,975,Short Slickwater,4886,66,15,73.2,8586,Frac Tech I,6648060,567040,4033140,2047880,194798,865,1
Q1891LLDO0,7625,28923,9264201300000000SCD0005H1,North,Tilden East,Single Well,5888,1000,Slickwater,5078,54,19,77.7,8199,Frac Tech II,6578530,586660,3457600,2534270,234013,1070,1
Q1891LMDO0,6648,22323,9264201300000000SCD0035H1,North,Tilden East,Allen Unit 1H & 2H,6068,700,Short Slickwater,6698,72,19,74.42,7137,Frac Tech I,8242169,721969,5146460,2373740,217733,1127.93,1
Q1891LPDO0,5382,18812,9264201300000000SCD0003H1,North,Tilden East,Single Well,5765,1000,Short Slickwater,4826,72,17,84.2,8698,Frac Tech II,5886800,502660,3188120,2196020,218587,952,1
Q1891LQDO0,7143,25646,9264201300000000SCD0044H1,North,Tilden East,Clyburn Unit 1H & 2H,6045,700,Short Slickwater,3970,62,13,75.38,8089.15,Frac Tech II,5677990,494090,3534240,1649660,161793,0,1
Q1891LRDO0,3143,17113,9264201300000000SCD0036H1,North,Tilden East,Allen Unit 1H & 2H,6060,700,Short Slickwater,6862,70,20,78.36,7513.55,Frac Tech I,8693920,774380,5461440,2458100,254960,1331.55,2
Q1891LWDO0,4405,41350,9264201300000000TOM0010H1,South,Tilden East,Anthony East 1H & Anthony West 1H,6874,875,Short Slickwater,5034,68,15,87.8,9428,Frac Tech II,6187750,539280,3510680,2137790,216639,896,1
Q1891M0CO0,3198,10153,9264201300000000SCD0018H1,North,Tilden East,"L Kellner Unit 1H,2H & Kylie Unit 1H,2H",6088,450,Super Short Slickwater,5965,67,18,75.47,8474.11,Frac Tech I,9682660,689400,4512680,4480580,191349,978.79,1
Q1891M1CO0,12205,48553,9264201300000000SCD0008H1,South,Tilden East,Single Well,6367,1000,Hybrid,6652,70,24,73.6,8628,Frac Tech II,833730,736880,4357000,2329850,181955,1192,1
Q1891M5CO0,7899,24137,9264201300000000TOM0020H1,South,Tilden East,Single Well,6385,1000,Short Slickwater,5112,70,15,74.17,8561.27,Frac Tech II,6216789,553180,3797849,1865760,186894,1003.12,1
Q1891M6CO0,8382,53024,9264201300000000SCD0009H1,South,Tilden East,Single Well,6360,1000,Slickwater,6652,70,24,76.3,8885,Frac Tech II,8007520,738080,4341140,2928300,229542,1146,1
Q1891M7CO0,10183,34659,9264201300000000SCD0033H1,North,Tilden East,JB East Unit 1H & JB West Unit 1H,6181,750,Short Slickwater,5882,70,17,78.22,8870.47,Frac Tech I,7470220,645240,4636420,2188560,201814,856.21,1
Q1891MBCO0,4252,17591,9264201300000000SCD0019H1,North,Tilden East,"L Kellner Unit 1H,2H & Kylie Unit 1H,2H",6130,500,Short Slickwater,3334,68,10,77.53,8392.1,Frac Tech I,4070550,401220,2210680,1458650,116667,507.33,1
Q1891MCCO0,7362,29585,9264201300000000SCD0034H1,North,Tilden East,"JB East Unit 1H,JB West Unit 1H",6179,750,Short Slickwater,5434,69,16,78.81,8757.38,Frac Tech I,7007810,612990,4338300,2056520,194758,793.12,1
Q1891MFCO0,7424,27559,9264201300000000SCD0037H1,North,Tilden East,"Moursund Unit 1H,2H",6163,675,Hybrid,4239,61,14,70.13,7408.71,Frac Tech II,6130040,532980,3779760,1817300,147268,840.88,1
Q1891MGCO0,7475,25049,9264201300000000SCD0021H1,North,Tilden East,"L Kellner Unit 1H,2H & Kylie Unit 1H,2H",6083,475,Super Short Slickwater,6437,65,20,76.4,8252.3,Frac Tech I,10733820,790780,4998060,4944980,209003,1140.36,2
Q1891MKDO0,8656,25902,9264201300000000SCD0038H1,North,Tilden East,"Moursund Unit 1H,2H",6167,675,Short Slickwater,4418,69,13,76.95,8432.31,Frac Tech II,5560260,424280,3509940,1626040,142847,785,2
Q1891MLDO0,9451,29128,9264201300000000SCD0046H1,North,Tilden East,Kylie Unit 3H & 4H,6080,450,Super Short Slickwater,6130,73,17,74.75,8912.47,Frac Tech II,7465583,538643,3775640,3151300,210901,1024,3
Q1891MMDO0,7676,33726,9264201300000000TOM0012H1,South,Tilden East,"JTN 1H,John Jr 1H",6796,975,Slickwater,4812,65,15,81,8919,Frac Tech II,6648869,580309,4055380,2013180,209822,1341,1
Q1891MPDO0,7881,52623,9264201300000000TOM0007H1,South,Tilden East,Single Well,6591,950,Slickwater,5453,69,20,80.7,8624,Halliburton,7025765,626820,3944680,2452405,277157,1104,1
Q1891MQDO0,12225,46211,9264201300000000SCD0047H1,North,Tilden East,Kylie Unit 3H & 4H,6066,725,Short Slickwater,6426,73,18,74.79,8075.06,Frac Tech II,8077540,538520,3763440,1895380,216122,936.45,4
Q1891MRDO0,3957,18377,9264201300000000TOM0014H1,South,Tilden East,"JTN Unit 1H,John Jr 1H",6531,900,Short Slickwater,4736,64,15,80.8,9098,Frac Tech II,6651740,573220,4074400,2004120,211648,987,1
Q1891MVDO0,436,831,9264201300000000SCD0020H2,North,Tilden East,"L Kellner Unit 1H,2H & Kylie Unit 1H,2H",6088,400,Super Short Slickwater,6097,70,18,71.92,8257.06,Frac Tech I,9086240,635280,4283380,4167580,201436,1041.24,2
Q1891MWDO0,10814,45621,9264201300000000SCD0012H1,South,Tilden East,Berta 1H & Kinsley 1H,6286,725,Short Slickwater,6207,73,18,78.5,8299,Halliburton,7473300,675720,4382660,2414920,228204,1111,1
Q1891N0DO0,7951,30024,9264201300000000SCD0022H1,North,Tilden East,"S & H Trust 1H,2H,Unit 1H,Unit 2H",6064,725,Short Slickwater,7179,69,21,75.13,8652.24,Frac Tech I,9064370,781520,5398890,2883960,259795,1165.52,2
Q1891N1DO0,10515,25024,9264201300000000SCD0017H1,North,Tilden East,"S & H Trust 1H,2H,Unit 1H,Unit 2H",6081,475,Short Slickwater,6932,70,20,73.73,8576.15,Frac Tech I,8510520,743300,5081400,2685820,233577,1014.12,1
Q1891N2DO0,9754,49438,9264201300000000TOM0019H1,South,Tilden East,Single Well,6789,1000,Short Slickwater,5108,69,15,71.52,8859.67,Frac Tech II,6629680,563960,4059420,2006300,174331,1170.71,1
Q1891N5DO0,9361,52908,9264201300000000TOM0001H1,South,Tilden East,Single Well,6214,1000,Slickwater,4821,76,17,74.8,8123,FracTech - dedicated,5296580,490020,1767200,3039360,189415,835,1
Q1891N6DO0,3263,11459,9264201300000000SCD0014H1,North,Tilden East,"S Herbst Unit A1H,B1H",5903,975,Short Slickwater,7062,70,25,71.6,8512,C&J Frac,8728880,789060,4780320,3159500,263302,1420,1
Q1891N7DO0,10866,51832,9264201300000000TOM0021H1,South,Tilden East,Pat Unit 1H & 2H,6639,725,Short Slickwater,5182,70,15,78.8,8903.67,Calfrac,6413013,566660,3639770,2206583,175536,749.79,1
Q1891NBDO0,7340,30228,9264201300000000SCD0015H1,North,Tilden East,"S Herbst Unit A1H,B1H",5893,975,Short Slickwater,7357,70,20,73.6,8923,C&J Frac,8243190,694780,4818130,2730280,264917,1282,1
Q1891NCDO0,5301,23564,9264201300000000TOM0022H1,South,Tilden East,Pat Unit 1H & 2H,6624,725,Short Slickwater,4681,70,12,76.08,9090.08,Calfrac,5116030,455960,2915920,1744150,148756,448.79,2
Q1891NFDO0,5442,13032,9264201300000000SCD0043H1,North,Tilden East,Turnbow Unit East 1H & West 1H,5906,750,100 Mesh Ramp,4309,73,12,78.46,8545.08,Frac Tech I,5840360,1177760,3180100,1482500,165048,607.1,1
Q1891NGDO0,2417,13898,9264201300000000SCD0016H1,North,Tilden East,"S & H Trust 1H,2H,Unit 1H,Unit 2H",6066,475,Short Slickwater,5668,69,16,76.78,8547.06,Frac Tech I,7004740,616380,4229480,2158880,193551,861.64,1
Q1891NHEO0,5366,27858,9264201300000000SCD0011H1,North,Tilden East,Single Well,6030,1000,Slickwater,6770,72,19,85.8,8658,Frac Tech I,7867360,699220,4698660,2469480,299200,930,1
Q1891NKEO0,4616,11047,9264201300000000SCD0042H1,North,Tilden East,Turnbow Unit East 1H & West 1H,5926,750,Short Slickwater,4309,73,12,74.95,8196.33,Frac Tech I,5337960,525480,3201960,1610520,257497,767.71,1
Q1891NLEO0,6260,23148,9264201300000000SCD0023H1,North,Tilden East,"S & H Trust 1H,2H,Unit 1H,Unit 2H",6073,725,Short Slickwater,5986,68,17,74.97,8675,Frac Tech I,7238640,647960,4427840,2162840,211425,930.29,2
Q1891NMEO0,4392,27962,9264201300000000TOM0017H1,South,Tilden East,"RLT Unit A1H,B1H",6459,775,Short Slickwater,7982,70,23,75,9009,Frac Tech I,10133400,859560,6233560,3040280,297905,1386,1
